mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.02,0,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05001e+08,5.79068e+06,0,1.19526e+09,9.9605e+08,7.9684e+08,1.9921e+08,3738.73,0,nan,0,0,2.05001e+08,3738.73,50,54831.7,1.0000,1.0000,0.9999,0.9999,1.0000,0.9992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0253792,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05009e+08,5.7911e+06,0,1.19531e+09,9.96088e+08,7.96871e+08,1.99218e+08,3738.88,0,nan,0,0,2.05009e+08,3738.88,50,54831.7,1.0000,0.9998,1.0000,0.9998,1.0000,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0322052,0,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05014e+08,5.7914e+06,0,1.19534e+09,9.96115e+08,7.96892e+08,1.99223e+08,3738.98,0,nan,0,0,2.05014e+08,3738.98,50,54831.7,1.0000,1.0000,0.9997,0.9999,1.0000,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0408672,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05029e+08,5.79217e+06,0,1.19542e+09,9.96185e+08,7.96948e+08,1.99237e+08,3739.25,0,nan,0,0,2.05029e+08,3739.25,50,54831.7,1.0000,1.0000,0.9998,0.9997,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0518589,0,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05034e+08,5.79244e+06,0,1.19545e+09,9.96209e+08,7.96967e+08,1.99242e+08,3739.34,0,nan,0,0,2.05034e+08,3739.34,50,54831.7,1.0000,1.0000,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0658069,0,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05039e+08,5.79272e+06,0,1.19548e+09,9.96234e+08,7.96987e+08,1.99247e+08,3739.44,0,nan,0,0,2.05039e+08,3739.44,50,54831.7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0835064,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05046e+08,5.79304e+06,0,1.19552e+09,9.96263e+08,7.97011e+08,1.99253e+08,3739.55,0,nan,0,0,2.05046e+08,3739.55,50,54831.7,1.0000,0.9997,1.0000,1.0000,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.105966,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05048e+08,5.79314e+06,0,1.19553e+09,9.96273e+08,7.97018e+08,1.99255e+08,3739.59,0,nan,0,0,2.05048e+08,3739.59,50,54831.7,1.0000,0.9999,1.0000,0.9996,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.134467,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05049e+08,5.7932e+06,0,1.19553e+09,9.96278e+08,7.97022e+08,1.99256e+08,3739.6,0,nan,0,0,2.05049e+08,3739.6,50,54831.7,1.0000,0.9999,1.0000,0.9998,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.170634,0,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05049e+08,5.7932e+06,0,1.19553e+09,9.96278e+08,7.97022e+08,1.99256e+08,3739.61,0,nan,0,0,2.05049e+08,3739.61,50,54831.7,1.0000,1.0000,0.9996,0.9997,0.9996,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.216527,0,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05053e+08,5.79337e+06,0,1.19555e+09,9.96291e+08,7.97033e+08,1.99258e+08,3739.69,0,nan,0,0,2.05053e+08,3739.69,50,54831.7,1.0000,1.0000,1.0000,0.9999,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.274765,0,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05052e+08,5.79336e+06,0,1.19555e+09,9.96292e+08,7.97033e+08,1.99258e+08,3739.66,0,nan,0,0,2.05052e+08,3739.66,50,54831.7,1.0000,0.9999,1.0000,0.9998,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.348666,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05047e+08,5.79309e+06,0,1.19552e+09,9.96268e+08,7.97014e+08,1.99254e+08,3739.57,0,nan,0,0,2.05047e+08,3739.57,50,54831.7,1.0000,0.9999,0.9995,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.442443,0,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05051e+08,5.79333e+06,0,1.19555e+09,9.96289e+08,7.97031e+08,1.99258e+08,3739.65,0,nan,0,0,2.05051e+08,3739.65,50,54831.7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.561443,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05049e+08,5.7932e+06,0,1.19553e+09,9.96278e+08,7.97022e+08,1.99256e+08,3739.6,0,nan,0,0,2.05049e+08,3739.6,50,54831.7,1.0000,0.9999,0.9998,0.9999,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.71245,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05046e+08,5.79308e+06,0,1.19552e+09,9.96266e+08,7.97013e+08,1.99253e+08,3739.56,0,nan,0,0,2.05046e+08,3739.56,50,54831.7,1.0000,0.9992,1.0000,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.904071,0,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05048e+08,5.79316e+06,0,1.19553e+09,9.96274e+08,7.97019e+08,1.99255e+08,3739.59,0,nan,0,0,2.05048e+08,3739.59,50,54831.7,1.0000,0.9999,1.0000,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.14723,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79289e+06,0,1.1955e+09,9.96249e+08,7.96999e+08,1.9925e+08,3739.49,0,nan,0,0,2.05043e+08,3739.49,50,54831.7,1.0000,0.9999,1.0000,0.9999,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.45579,0,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05036e+08,5.79251e+06,0,1.19546e+09,9.96215e+08,7.96972e+08,1.99243e+08,3739.37,0,nan,0,0,2.05036e+08,3739.37,50,54831.7,1.0000,1.0000,0.9997,1.0000,0.9996,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.84734,0,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05019e+08,5.79165e+06,0,1.19537e+09,9.96138e+08,7.9691e+08,1.99228e+08,3739.07,0,nan,0,0,2.05019e+08,3739.07,50,54831.7,1.0000,0.9997,0.9997,1.0000,0.9999,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3442,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05004e+08,5.79087e+06,0,1.19528e+09,9.96066e+08,7.96853e+08,1.99213e+08,3738.79,0,nan,0,0,2.05004e+08,3738.79,50,54831.7,1.0000,0.9999,0.9999,0.9998,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9747,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.0496e+08,5.78854e+06,0,1.19503e+09,9.95857e+08,7.96685e+08,1.99171e+08,3737.98,0,nan,0,0,2.0496e+08,3737.98,50,54831.7,1.0000,0.9997,0.9996,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.77478,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.04846e+08,5.78256e+06,0,1.19438e+09,9.95317e+08,7.96253e+08,1.99063e+08,3735.91,0,nan,0,0,2.04846e+08,3735.91,50,54831.7,1.0000,1.0000,0.9997,1.0000,1.0000,0.9994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.79005,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.0455e+08,5.76706e+06,0,1.1927e+09,9.93915e+08,7.95132e+08,1.98783e+08,3730.51,0,nan,0,0,2.0455e+08,3730.51,50,54831.7,1.0000,0.9996,1.0000,0.9998,0.9998,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.07839,0,race_to_bottom,-0.9996,0.9996,0.0000,0.000,2.03872e+08,5.73139e+06,0,1.18881e+09,9.90668e+08,7.92534e+08,1.98134e+08,3718.15,0,nan,0,0,2.03872e+08,3718.15,50,54831.7,1.0000,0.9990,1.0000,0.9999,0.9996,0.9989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.71324,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.03117e+08,5.69318e+06,0,1.18454e+09,9.8712e+08,7.89696e+08,1.97424e+08,3704.38,0,nan,0,0,2.03117e+08,3704.38,50,54831.7,1.0000,1.0000,1.0000,0.9999,0.9997,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.7878,0,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.01962e+08,5.6383e+06,0,1.17793e+09,9.81609e+08,7.85287e+08,1.96322e+08,3683.31,0,nan,0,0,2.01962e+08,3683.31,50,54831.7,1.0000,0.9995,1.0000,0.9998,0.9996,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.4203,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,1.94934e+08,5.38039e+06,0,1.13732e+09,9.47767e+08,7.58213e+08,1.89553e+08,3555.13,0,nan,0,0,1.94934e+08,3555.13,50,54831.7,1.0000,0.9996,1.0000,1.0000,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15.7609,0,race_to_bottom,-0.9709,0.9709,0.0000,0.000,2.1185e+08,4.80271e+06,0,1.04489e+09,8.3784e+08,6.70272e+08,1.67568e+08,3863.64,0,nan,0,0,2.1185e+08,3863.64,50,54831.7,1.0000,0.9196,0.9590,0.9787,1.0000,0.9681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0,race_to_bottom,-0.6919,0.6919,0.0000,0.000,4.31469e+08,4.1911e+06,0,9.93292e+08,5.66014e+08,4.52811e+08,1.13203e+08,7868.98,0,nan,0,0,4.31469e+08,7868.98,50,54831.7,0.6262,0.6525,0.6885,0.7249,0.8015,0.6580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.02,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.04998e+08,5.79054e+06,0,1.19525e+09,9.96038e+08,7.9683e+08,1.99208e+08,3738.68,0,nan,0,0,2.04998e+08,3738.68,50,54831.7,1.0000,0.9999,0.9999,0.9998,0.9999,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0253792,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05014e+08,5.7914e+06,0,1.19534e+09,9.96115e+08,7.96892e+08,1.99223e+08,3738.98,0,nan,0,0,2.05014e+08,3738.98,50,54831.7,1.0000,0.9997,1.0000,1.0000,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0322052,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05022e+08,5.79177e+06,0,1.19538e+09,9.96149e+08,7.96919e+08,1.9923e+08,3739.11,0,nan,0,0,2.05022e+08,3739.11,50,54831.7,1.0000,0.9998,0.9997,1.0000,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0408672,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.0503e+08,5.79222e+06,0,1.19543e+09,9.96189e+08,7.96951e+08,1.99238e+08,3739.26,0,nan,0,0,2.0503e+08,3739.26,50,54831.7,1.0000,0.9999,0.9998,0.9998,1.0000,0.9994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0518589,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05037e+08,5.79256e+06,0,1.19546e+09,9.9622e+08,7.96976e+08,1.99244e+08,3739.38,0,nan,0,0,2.05037e+08,3739.38,50,54831.7,1.0000,0.9995,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0658069,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05044e+08,5.79296e+06,0,1.19551e+09,9.96256e+08,7.97005e+08,1.99251e+08,3739.52,0,nan,0,0,2.05044e+08,3739.52,50,54831.7,1.0000,0.9999,1.0000,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0835064,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05045e+08,5.793e+06,0,1.19551e+09,9.9626e+08,7.97008e+08,1.99252e+08,3739.54,0,nan,0,0,2.05045e+08,3739.54,50,54831.7,1.0000,0.9999,1.0000,0.9999,0.9998,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.105966,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.0505e+08,5.79328e+06,0,1.19554e+09,9.96284e+08,7.97027e+08,1.99257e+08,3739.63,0,nan,0,0,2.0505e+08,3739.63,50,54831.7,1.0000,0.9998,1.0000,0.9998,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.134467,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05047e+08,5.79311e+06,0,1.19552e+09,9.96269e+08,7.97015e+08,1.99254e+08,3739.57,0,nan,0,0,2.05047e+08,3739.57,50,54831.7,1.0000,0.9995,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.170634,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05052e+08,5.79335e+06,0,1.19555e+09,9.96291e+08,7.97033e+08,1.99258e+08,3739.66,0,nan,0,0,2.05052e+08,3739.66,50,54831.7,1.0000,0.9999,0.9996,0.9997,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.216527,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05049e+08,5.79323e+06,0,1.19554e+09,9.96281e+08,7.97024e+08,1.99256e+08,3739.62,0,nan,0,0,2.05049e+08,3739.62,50,54831.7,1.0000,1.0000,1.0000,0.9993,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.274765,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05053e+08,5.79341e+06,0,1.19556e+09,9.96296e+08,7.97037e+08,1.99259e+08,3739.68,0,nan,0,0,2.05053e+08,3739.68,50,54831.7,1.0000,0.9998,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.348666,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05048e+08,5.79319e+06,0,1.19553e+09,9.96277e+08,7.97021e+08,1.99255e+08,3739.6,0,nan,0,0,2.05048e+08,3739.6,50,54831.7,1.0000,0.9998,0.9995,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.442443,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05049e+08,5.79321e+06,0,1.19553e+09,9.96278e+08,7.97022e+08,1.99256e+08,3739.61,0,nan,0,0,2.05049e+08,3739.61,50,54831.7,1.0000,0.9999,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.561443,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05051e+08,5.79335e+06,0,1.19555e+09,9.9629e+08,7.97032e+08,1.99258e+08,3739.65,0,nan,0,0,2.05051e+08,3739.65,50,54831.7,1.0000,0.9998,0.9998,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.71245,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05054e+08,5.7936e+06,0,1.19556e+09,9.963e+08,7.9704e+08,1.9926e+08,3739.69,0,nan,0,0,2.05054e+08,3739.69,50,54831.7,1.0000,0.9999,1.0000,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.904071,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.0505e+08,5.79339e+06,0,1.19554e+09,9.96281e+08,7.97025e+08,1.99256e+08,3739.62,0,nan,0,0,2.0505e+08,3739.62,50,54831.7,1.0000,0.9993,1.0000,0.9997,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.14723,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05045e+08,5.79301e+06,0,1.19551e+09,9.9626e+08,7.97008e+08,1.99252e+08,3739.54,0,nan,0,0,2.05045e+08,3739.54,50,54831.7,1.0000,1.0000,1.0000,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.45579,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.0504e+08,5.79289e+06,0,1.19548e+09,9.96236e+08,7.96989e+08,1.99247e+08,3739.45,0,nan,0,0,2.0504e+08,3739.45,50,54831.7,1.0000,0.9999,0.9997,0.9998,0.9993,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.84734,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05042e+08,5.79313e+06,0,1.19549e+09,9.96243e+08,7.96995e+08,1.99249e+08,3739.48,0,nan,0,0,2.05042e+08,3739.48,50,54831.7,1.0000,0.9996,0.9997,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3442,0.0344828,race_to_bottom,-0.9964,0.9998,0.0034,0.000,2.04884e+08,5.78495e+06,6392.2,1.19456e+09,9.95463e+08,7.9637e+08,1.99093e+08,3736.6,396507,2185.23,0.170833,187.341,2.04487e+08,3742.23,49.8292,54644.3,1.0000,0.9994,0.9999,0.9998,0.9999,0.9997,0.0000,0.0203,0.0000,0.0000,0.0000,0.0000
2.9747,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.04984e+08,5.79023e+06,0,1.19516e+09,9.95968e+08,7.96775e+08,1.99194e+08,3738.42,0,nan,0,0,2.04984e+08,3738.42,50,54831.7,1.0000,0.9998,0.9996,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.77478,0.0344828,race_to_bottom,-0.9949,0.9999,0.0049,0.000,2.04708e+08,5.77576e+06,7348.14,1.19355e+09,9.94626e+08,7.95701e+08,1.98925e+08,3733.4,123347,958.866,0.241667,265.02,2.04585e+08,3749.73,49.7583,54566.6,1.0000,0.9996,0.9997,1.0000,1.0000,0.9998,0.0000,0.0295,0.0000,0.0000,0.0000,0.0000
4.79005,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.04536e+08,5.76644e+06,0,1.19262e+09,9.93847e+08,7.95078e+08,1.98769e+08,3730.25,0,nan,0,0,2.04536e+08,3730.25,50,54831.7,1.0000,0.9998,1.0000,0.9994,0.9996,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.07839,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.03823e+08,5.72947e+06,0,1.18855e+09,9.90452e+08,7.92362e+08,1.9809e+08,3717.25,0,nan,0,0,2.03823e+08,3717.25,50,54831.7,1.0000,0.9998,1.0000,1.0000,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.71324,0.0344828,race_to_bottom,-0.9953,0.9998,0.0044,0.000,2.02962e+08,5.68594e+06,7203.31,1.18359e+09,9.86316e+08,7.89053e+08,1.97263e+08,3701.55,209005,1340.32,0.225,246.742,2.02753e+08,3714.81,49.775,54584.9,1.0000,0.9999,1.0000,0.9999,0.9994,0.9993,0.0000,0.0267,0.0000,0.0000,0.0000,0.0000
9.7878,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.02029e+08,5.64155e+06,0,1.17833e+09,9.81938e+08,7.8555e+08,1.96388e+08,3684.53,0,nan,0,0,2.02029e+08,3684.53,50,54831.7,1.0000,1.0000,1.0000,0.9999,0.9995,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.4203,0.0344828,race_to_bottom,-0.9997,0.9997,0.0000,0.000,1.9343e+08,5.32663e+06,0,1.12859e+09,9.40488e+08,7.5239e+08,1.88098e+08,3527.71,0,nan,0,0,1.9343e+08,3527.71,50,54831.7,1.0000,1.0000,1.0000,0.9999,0.9996,0.9988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15.7609,0.0344828,race_to_bottom,-0.9417,0.9460,0.0043,0.000,2.38663e+08,4.79082e+06,3493.81,1.05315e+09,8.19286e+08,6.55429e+08,1.63857e+08,4352.65,1.72561e+06,8327.4,0.216667,237.604,2.36937e+08,4343.85,49.7833,54594.1,1.0000,0.8918,0.9590,0.9313,0.9356,0.9583,0.0000,0.0260,0.0000,0.0000,0.0000,0.0000
20,0.0344828,race_to_bottom,-0.7136,0.7136,0.0000,0.000,4.20191e+08,4.207e+06,0,9.92378e+08,5.76393e+08,4.61115e+08,1.15279e+08,7663.3,0,nan,0,0,4.20191e+08,7663.3,50,54831.7,0.7526,0.6461,0.6885,0.8163,0.7100,0.6681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.02,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.04996e+08,5.79042e+06,0,1.19523e+09,9.96027e+08,7.96821e+08,1.99205e+08,3738.64,0,nan,0,0,2.04996e+08,3738.64,50,54831.7,1.0000,0.9999,1.0000,0.9998,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0253792,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05008e+08,5.79108e+06,0,1.1953e+09,9.96086e+08,7.96868e+08,1.99217e+08,3738.87,0,nan,0,0,2.05008e+08,3738.87,50,54831.7,1.0000,0.9997,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0322052,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05025e+08,5.79198e+06,0,1.1954e+09,9.96167e+08,7.96934e+08,1.99233e+08,3739.18,0,nan,0,0,2.05025e+08,3739.18,50,54831.7,1.0000,0.9998,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0408672,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05034e+08,5.79241e+06,0,1.19545e+09,9.96206e+08,7.96965e+08,1.99241e+08,3739.33,0,nan,0,0,2.05034e+08,3739.33,50,54831.7,1.0000,0.9999,1.0000,0.9998,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0518589,0.0689655,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05031e+08,5.79227e+06,0,1.19543e+09,9.96194e+08,7.96955e+08,1.99239e+08,3739.28,0,nan,0,0,2.05031e+08,3739.28,50,54831.7,1.0000,0.9995,0.9997,1.0000,1.0000,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0658069,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05044e+08,5.79297e+06,0,1.19551e+09,9.96256e+08,7.97005e+08,1.99251e+08,3739.52,0,nan,0,0,2.05044e+08,3739.52,50,54831.7,1.0000,0.9999,1.0000,1.0000,0.9999,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0835064,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05048e+08,5.79315e+06,0,1.19553e+09,9.96273e+08,7.97018e+08,1.99255e+08,3739.59,0,nan,0,0,2.05048e+08,3739.59,50,54831.7,1.0000,0.9999,0.9998,0.9999,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.105966,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05048e+08,5.79319e+06,0,1.19553e+09,9.96276e+08,7.97021e+08,1.99255e+08,3739.6,0,nan,0,0,2.05048e+08,3739.6,50,54831.7,1.0000,0.9998,1.0000,0.9998,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.134467,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.0505e+08,5.79326e+06,0,1.19554e+09,9.96283e+08,7.97026e+08,1.99257e+08,3739.62,0,nan,0,0,2.0505e+08,3739.62,50,54831.7,1.0000,0.9995,1.0000,1.0000,0.9998,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.170634,0.0689655,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.0505e+08,5.79326e+06,0,1.19554e+09,9.96283e+08,7.97027e+08,1.99257e+08,3739.63,0,nan,0,0,2.0505e+08,3739.63,50,54831.7,1.0000,0.9999,0.9994,0.9997,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.216527,0.0689655,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.0505e+08,5.79327e+06,0,1.19554e+09,9.96285e+08,7.97028e+08,1.99257e+08,3739.63,0,nan,0,0,2.0505e+08,3739.63,50,54831.7,1.0000,1.0000,0.9998,0.9993,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.274765,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05052e+08,5.79337e+06,0,1.19555e+09,9.96293e+08,7.97034e+08,1.99259e+08,3739.66,0,nan,0,0,2.05052e+08,3739.66,50,54831.7,1.0000,0.9998,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.348666,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.0505e+08,5.79325e+06,0,1.19554e+09,9.96282e+08,7.97025e+08,1.99256e+08,3739.62,0,nan,0,0,2.0505e+08,3739.62,50,54831.7,1.0000,0.9998,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.442443,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05053e+08,5.79355e+06,0,1.19556e+09,9.96297e+08,7.97038e+08,1.99259e+08,3739.68,0,nan,0,0,2.05053e+08,3739.68,50,54831.7,1.0000,0.9999,1.0000,1.0000,0.9998,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.561443,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05051e+08,5.79333e+06,0,1.19555e+09,9.96289e+08,7.97031e+08,1.99258e+08,3739.65,0,nan,0,0,2.05051e+08,3739.65,50,54831.7,1.0000,0.9998,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
